Sample,Species,Treatment,SandBurialDuration,RecoveryDuration,fvfm
230618CMRe_2-16,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,3,0.451
230618CMRe_2-2,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,3,0.639
230618CMRe_1-1,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,4,0.623
230618CMRe_1-7,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,4,0.477
230618CMRe_2-1,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,4,0.553
230618CMRe_2-11,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,4,0.619
230618CMRe_2-14,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,4,0.521
230618CMRe_2-15,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,4,0.556
230618CMRe_2-16,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,4,0.601
230618CMRe_2-2,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,4,0.643
230618CMRe_1-1,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,5,0.634
230618CMRe_1-7,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,5,0.608
230618CMRe_2-1,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,5,0.617
230618CMRe_2-11,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,5,0.6
230618CMRe_2-14,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,5,0.601
230618CMRe_2-15,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,5,0.551
230618CMRe_2-16,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,5,0.555
230618CMRe_2-2,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,5,0.612
230618CMRe_1-1,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,6,0.643
230618CMRe_1-7,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,6,0.624
230618CMRe_2-1,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,6,0.607
230618CMRe_2-11,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,6,0.635
230618CMRe_2-14,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,6,0.646
230618CMRe_2-15,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,6,0.599
230618CMRe_2-16,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,6,0.598
230618CMRe_2-2,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,6,0.655
230618CMRe_1-1,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,7,0.659
230618CMRe_1-7,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,7,0.661
230618CMRe_2-1,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,7,0.621
230618CMRe_2-11,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,7,0.632
230618CMRe_2-14,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,7,0.641
230618CMRe_2-15,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,7,0.608
230618CMRe_2-16,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,7,0.622
230618CMRe_2-2,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,7,0.641
230618CMRe_1-1,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,14,0.659
230618CMRe_1-7,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,14,0.661
230618CMRe_2-1,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,14,0.621
230618CMRe_2-11,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,14,0.632
230618CMRe_2-14,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,14,0.641
230618CMRe_2-15,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,14,0.608
230618CMRe_2-16,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,14,0.622
230618CMRe_2-2,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,14,0.659
230618CMRe_1-1,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,21,0.691
230618CMRe_1-7,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,21,0.641
230618CMRe_2-1,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,21,0.64
230618CMRe_2-11,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,21,0.656
230618CMRe_2-14,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,21,0.663
230618CMRe_2-15,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,21,0.617
230618CMRe_2-16,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,21,0.656
230618CMRe_2-2,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,21,0.659
230618CMRe_1-1,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,28,0.692
230618CMRe_1-7,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,28,0.631
230618CMRe_2-1,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,28,0.608
230618CMRe_2-11,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,28,0.636
230618CMRe_2-14,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,28,0.665
230618CMRe_2-15,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,28,0.639
230618CMRe_2-16,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,28,0.65
230618CMRe_2-2,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,28,0.684
230406CMRe_1-17,Ls-NTCR (Lithophyllum sp.),Buried,1m,0,0.127
230406CMRe_3-1,Ls-NTCR (Lithophyllum sp.),Buried,1m,0,0.258
230406CMRe_3-3,Ls-NTCR (Lithophyllum sp.),Control,1m,0,0.674
230406CMRe_3-5,Ls-NTCR (Lithophyllum sp.),Control,1m,0,0.608
230406CMRe_3-6,Ls-NTCR (Lithophyllum sp.),Buried,1m,0,0.248
