Sample,Species,Treatment,SandBurialDuration,RecoveryDuration,fvfm
221111BYRe_91-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,14,0.575
221111BYRe_91-3,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,14,0.493
221111BYRe_91-5,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,14,0.515
221111BYRe_92-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,14,0.594
221111BYRe_92-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,14,0.444
221111BYRe_93-2,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,14,0.475
221111BYRe_57-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,21,0.546
221111BYRe_57-2,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,21,0.574
221111BYRe_57-4,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,21,0.558
221111BYRe_83-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,21,0.546
221111BYRe_83-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,21,0.497
221111BYRe_90-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,21,0.587
221111BYRe_91-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,21,0.592
221111BYRe_91-3,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,21,0.577
221111BYRe_91-5,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,21,0.634
221111BYRe_92-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,21,0.658
221111BYRe_92-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,21,0.507
221111BYRe_93-2,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,21,0.472
221111BYRe_57-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,28,0.624
221111BYRe_57-2,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,28,0.602
221111BYRe_57-4,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,28,0.586
221111BYRe_83-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,28,0.615
221111BYRe_83-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,28,0.499
221111BYRe_90-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,28,0.558
221111BYRe_91-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,28,0.64
221111BYRe_91-3,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,28,0.603
221111BYRe_91-5,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,28,0.594
221111BYRe_92-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,28,0.643
221111BYRe_92-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,28,0.452
221111BYRe_93-2,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,28,0.561
